source;target
128;9385
128;8714
128;26
3701;8382
3701;15195
3701;15506
28320;10862
2340;115
1466;1349
1466;366
27961;27960
27961;27962
27961;27959
27961;27963
15844;9066
15844;6071
13090;445
23247;24644
30765;30764
187;11262
187;148
15694;2187
15694;70
15694;6071
27684;14755
28201;28195
423;53
423;2576
423;2277
423;392
423;19967
423;112
423;14150
423;3045
423;2488
423;2397
423;19102
423;314
423;374
423;6092
423;3634
423;24943
423;6544
423;13310
26868;12544
27275;20721
27275;3037
24536;23125
8399;14782
8399;23561
11941;12549
11941;12932
29312;21390
6987;11494
6987;16199
6987;19015
6987;26346
6987;29987
6987;10075
420;634
28477;28478
20201;15190
858;769
858;10100
858;3958
858;70
29240;7079
29240;25294
29240;29239
5678;5325
26848;716
7204;19887
7204;25177
7204;25176
7204;25175
7204;25108
27460;2245
24986;23171
24986;14898
27522;20769
27522;11975
16317;26
28102;28103
28102;28101
1021;2512
1021;2345
1021;700
1021;1218
1021;14304
1021;445
1021;2344
1021;3226
1021;9791
1021;4996
1021;19700
1021;248
1021;13848
1021;14055
9331;9330
8579;4996
23391;23392
30000;7041
19038;25093
31500;31502
31500;31501
24864;30935
24864;24865
823;17966
823;1359
823;946
823;3246
823;57
823;722
823;221
15967;15571
21113;4741
4981;16832
690;498
690;14219
1641;445
1641;10100
19920;18754
23530;18754
30393;30394
115;29365
115;25978
115;6176
11656;17463
6552;2450
1464;4602
25586;25584
25586;25585
24509;24552
28061;13151
28195;28196
27962;27960
27962;27959
27962;27963
11262;148
11262;1532
11262;9317
11262;5040
11262;22919
27503;27502
25916;18288
19259;19260
1821;12055
1821;21781
700;2512
700;2345
700;1218
1218;2512
1218;2345
1218;1753
1218;6181
1218;2103
1218;4091
1218;6059
1218;2923
1218;21727
1218;16956
1218;17175
1218;25978
1003;634
23459;6545
28847;451
25965;25964
15251;5325
263;25978
13579;5961
13579;3115
13579;1010
13579;3595
10385;27394
16743;24438
23336;22140
722;1010
722;17966
722;1359
722;946
722;3246
722;57
722;221
20891;20892
20891;7847
20891;10303
11537;27078
20892;7847
20892;10303
25026;24818
20477;22734
20;8
20;17
20;18
20;19
20;2492
20;3308
20;15
24842;4292
27120;16437
8852;10075
356;248
6924;2248
6924;832
2434;4706
53;620
53;728
53;727
53;729
53;1
53;2576
29211;29212
38;896
38;847
38;39
38;3928
38;104
38;822
38;2921
38;398
38;717
38;7041
38;433
38;697
38;841
25182;25183
25182;25181
25182;25184
26166;31588
6176;25978
920;42
920;315
920;1010
28168;26553
13313;13312
13313;157
13313;224
15341;24373
15341;4363
15341;16211
27630;27632
27630;27631
27630;27634
27630;27636
27630;25108
27630;26381
27630;27633
27630;22316
27630;17948
27630;9166
27630;27635
27630;20226
27630;27675
27630;7871
27630;22206
27630;12995
27630;26345
27630;27674
27630;11885
27630;28800
27630;28797
27630;29135
27630;28799
27630;21489
27630;28796
27630;20656
27630;28798
27630;28801
27630;24694
27630;23721
27630;29134
23172;23173
16055;6918
16055;3595
935;28723
29168;22440
24440;20786
28836;28837
24459;12568
24459;24458
24459;18161
28422;28423
23365;23364
28024;4535
28494;21378
28520;28521
30344;3020
22302;5188
22302;8215
22302;22790
30822;30821
30822;30820
27261;27260
27261;13246
27261;10190
16864;27315
25177;25176
25177;25175
25177;25108
30244;28543
30244;25756
21444;21443
8563;5343
8563;14087
8563;20827
21746;11255
20463;9426
15894;10507
15894;24818
15894;18754
23548;23549
24956;5087
1448;5048
8001;5284
20167;1
22815;21413
22815;22816
22815;22301
13909;4725
2488;2262
2488;818
2488;3045
2488;1060
26405;25918
4598;8444
14127;24734
14127;24733
14127;22816
14127;20563
26546;836
26546;5996
15272;22606
30226;30227
10303;7847
22301;21413
22301;22816
11398;30382
26057;27340
30497;30498
30519;30521
30519;22649
30519;30520
30519;22650
23377;23378
23377;23376
23139;30066
23139;30067
24674;7049
27468;27467
27468;27469
27635;27632
27635;27631
27635;27634
27635;27636
27635;25108
27635;26381
27635;27633
27635;22316
27635;17948
27635;9166
27635;20226
27635;27675
27635;7871
27635;22206
27635;12995
27635;26345
27635;27674
27635;11885
27635;28800
27635;28797
27635;29135
27635;28799
27635;21489
27635;28796
27635;20656
27635;28798
27635;28801
27635;24694
27635;23721
27635;29134
27402;4741
18585;15005
1843;45
1843;170
1843;445
1843;10100
251;2344
24114;8454
29948;24818
23243;23244
19006;9581
19006;20505
19006;12207
19006;24739
19006;25395
19006;9735
24688;24687
24967;23443
24967;8181
10809;917
10809;10075
27431;21778
10301;14755
1956;2103
1956;11518
1956;4607
1956;2252
1956;16718
7913;19009
16233;24407
24486;14900
13182;28457
13182;28458
1364;439
28020;709
39;896
39;847
39;3928
39;104
39;822
39;2921
39;398
39;537
39;7041
39;717
39;433
39;697
18956;4091
26;426
26;93
26;10359
26;291
26;439
26;290
26;23
26;2438
26;19281
26;9385
26;8714
26;789
26;799
26;95
26;70
26;27
26;27294
26;552
26;12133
26;16441
26;10130
26;5836
26;4524
2984;112
2984;28716
5025;5283
25106;25107
23516;23515
18042;15430
18042;30540
18042;25563
18042;16934
18042;6184
28584;28583
1022;17966
1022;2095
1022;1432
20827;5343
20827;14087
16112;2172
13009;13008
4228;2888
4228;818
30090;28688
30090;30089
154;24516
9005;15207
9005;16099
9005;17972
9005;4741
9005;15503
9005;15253
9005;11275
9005;24337
9005;15190
9005;16698
9005;15291
9005;18476
9005;20623
9005;27065
9005;27066
9005;9122
9005;23849
9005;23850
9005;22539
9005;15494
9005;10634
9005;20935
9005;29147
9005;24068
22924;112
16762;11755
12681;110
12681;946
26511;702
709;24760
22205;22204
28709;28710
8660;18474
23125;24450
23125;22696
23125;28244
19180;19179
19180;19181
1260;12898
1260;17427
29031;29030
860;19013
9015;5222
27095;27096
19098;26875
21775;16368
21775;15242
3049;19053
3049;27701
14419;634
30897;30189
697;537
697;7041
697;717
697;433
697;398
697;847
697;104
697;2921
697;841
7079;21655
7079;14278
7079;14279
7079;22612
7079;25294
7079;29239
8798;3078
25153;18288
25153;25152
21870;25898
21870;21869
21870;27389
8506;21645
25483;22489
15874;2329
15874;26794
393;17966
24311;4363
28682;28688
17610;15525
7010;4091
15190;18768
15190;13464
15190;16698
15190;24862
15190;21211
15190;20810
15190;24316
15190;13008
15190;20926
15190;19042
15190;27922
15190;27511
22733;9868
10322;10315
10322;4501
25486;23870
25486;3921
24265;24264
28797;27636
28797;11885
28797;28800
28797;29135
28797;28799
28797;21489
28797;28796
28797;20656
28797;28798
28797;28801
28797;24694
28797;23721
28797;29134
30002;13941
8207;2187
8207;782
8653;4545
24653;24654
16209;5838
30937;30938
22407;24488
5339;3039
21089;21088
21089;24071
8431;24646
26941;12876
15194;8454
19046;25963
19046;26815
19046;26244
31082;31083
25124;18925
2262;818
2262;1217
2262;2345
2262;3909
2262;3912
2262;3913
2262;3843
2262;832
2262;6567
2262;836
2262;4706
2262;3045
2262;2751
2262;1405
2262;14942
2262;11757
2262;13661
2262;2888
2262;13178
21203;21202
28127;15392
28127;11699
30584;30585
9385;8714
9385;12233
15096;11975
26766;26767
26495;26493
26495;26494
18981;1460
27094;27093
8772;6999
29838;3817
22721;248
22721;70
22721;876
22721;2438
26932;26933
25048;1002
23791;23792
95;24170
95;21649
95;21629
23352;23353
27287;27285
27287;27286
27287;27288
27287;27289
10849;18404
10849;25978
23889;23888
23889;20455
1952;2252
31112;4706
5966;4602
5966;16222
24300;10955
21587;21586
21011;2103
27467;27469
24417;19866
8058;15320
8058;14001
8058;14002
1304;17966
1304;6019
1493;25148
1493;24633
1493;26432
24090;24091
15436;24818
7572;7571
24965;12337
24965;10507
23166;14147
23166;5188
9317;5040
8040;28688
23446;3351
11885;27636
11885;28800
11885;29135
11885;28799
11885;21489
11885;28796
11885;20656
11885;28798
11885;28801
11885;24694
11885;23721
11885;29134
27960;27959
27960;27963
22316;27632
22316;27631
22316;27634
22316;27636
22316;25108
22316;26381
22316;27633
22316;17948
22316;9166
24337;11275
31211;9951
137;16213
