source;target
4519;7849
4519;157
12407;73
12407;261
21100;24818
25637;6972
25637;25636
2170;13634
2170;45
356;248
25918;26322
7854;334
899;104
899;841
899;3655
8281;5252
9383;4096
2670;3573
2670;1863
2670;26
2670;3331
12881;12882
213;252
213;324
213;26
213;395
213;112
213;197
213;396
837;400
837;45
837;70
837;13634
837;2850
17012;7501
9188;5838
14002;4363
14002;9327
14002;6938
14002;16190
30126;30125
13612;21025
13612;3039
652;37
652;655
652;330
21647;7878
12145;2262
4501;2582
4501;1474
4501;781
4501;2837
4501;7405
4501;864
4501;4981
4501;5896
4501;5346
4501;3038
4501;287
4501;1185
4501;3162
4501;1704
4501;13
4501;10075
4501;197
4501;198
4501;13786
377;8
377;23
377;18
377;73
11683;1803
26272;25688
26272;25961
26272;25962
26272;25960
13;449
13;10075
13;197
13;198
31455;31454
330;655
330;37
22665;4363
22665;13759
10914;10304
10914;4726
2952;1803
9164;9165
25904;25905
25904;25902
25904;25907
25904;25906
25904;12540
25904;25908
25904;25903
7056;832
9944;2248
29090;28914
29090;29091
29090;29092
2736;2737
2736;7557
2736;445
4427;14368
9603;4612
9603;1460
13031;13032
25115;25116
11799;11798
15358;4697
15358;10507
15358;13017
23277;24468
23277;1804
16171;3913
16171;10507
5620;2923
5620;4607
5620;1956
5620;2103
5620;1405
10335;9147
10880;8530
7433;126
7433;16565
1839;10854
1839;2300
25218;1460
11327;5048
3820;4734
3820;7022
3820;9351
3820;7796
3820;8386
18754;18753
18754;9323
17;319
17;20
17;15
17;3308
17;8
17;2492
17;19
17;18
25888;1460
15303;14770
15303;4607
15303;2401
2343;2344
2343;2345
2343;423
2343;3226
2343;1010
2252;1956
2252;862
2252;1952
2252;3055
2252;10024
2252;2932
2252;5322
2252;10025
10295;5083
10295;5082
10295;74
10295;2976
10295;1772
30550;30551
10023;4602
10023;4834
2523;10941
2523;4076
2523;13305
2523;4290
2523;2678
2523;4886
2523;10940
2523;1
2523;10329
2523;9512
594;6169
1012;248
25960;25961
25960;25962
18869;18868
10932;10931
4726;25748
4726;7394
4726;9579
4726;10304
4726;9553
4726;3010
4726;10507
4726;14326
4726;15298
4726;20738
2929;2946
2929;3020
2929;4091
2929;5996
2929;2428
2929;20415
1532;1418
10349;16437
10861;10862
20224;24002
11846;8965
1803;2410
1803;3077
9364;634
50;164
50;165
50;6997
50;243
50;4602
50;928
50;1290
50;292
50;437
50;23
50;293
50;108
50;392
50;48
50;774
50;794
85;700
85;197
85;684
85;4440
85;5088
20579;1809
20579;70
18886;23919
19482;449
9351;7796
9735;7079
14136;14135
9108;950
14218;2248
14218;1104
11281;11282
6229;2428
2448;11482
8068;9043
8068;9174
8068;374
15182;13303
537;104
