source;target
3923;4363
393;108
4320;10691
4320;4483
9331;9330
4625;13037
431;10112
431;11586
11387;748
14416;4697
27110;27109
20233;20232
5603;1217
13565;13566
13565;3820
2777;10100
2777;1006
25871;25872
25871;25873
9721;13319
13340;10098
13340;19204
12615;12614
10832;12932
10832;16565
10832;9851
5198;243
5198;5197
12161;4741
21504;18890
1803;1243
1803;2952
1803;572
1803;11683
1803;12285
1803;146
1803;12137
1803;12283
1803;14299
1803;3077
1803;3037
14849;14848
7432;19202
7432;19203
7432;19204
12734;8136
24778;24777
24778;24779
24778;23835
12681;946
12175;10955
14449;110
15948;13930
15948;15949
13323;8200
7071;10507
12169;9151
12169;8454
12169;1493
12169;8924
13671;10100
27304;3032
13751;24164
9422;9425
9422;9424
9422;9423
9422;27215
21039;15182
7782;110
15663;15664
13173;2036
13173;248
21623;634
21623;10603
15358;13017
15358;10507
15358;4697
18250;12337
13369;14000
2161;26
2161;1854
2161;70
2161;1217
2161;4141
2161;2850
2161;1093
2161;11740
2161;1394
11174;2262
11174;836
9188;5838
9188;8686
9188;10448
9188;16209
5068;4726
625;128
625;21803
4545;8926
4545;8653
7080;7079
7080;7081
7080;19006
7066;26
10303;10304
10303;4726
15534;15533
11607;11608
12032;1074
30567;30568
5501;7903
5501;9453
5501;13981
5501;58
5501;17966
9945;2248
14942;11551
15188;15190
15188;9005
15188;15291
13941;14370
13941;2238
5325;12274
5325;13768
5325;4091
5325;13769
5325;9923
5325;11872
5325;12180
5325;15251
5325;9045
5325;27643
5325;25188
5325;23292
5325;13861
5325;15250
5325;12949
5325;19230
5325;8345
2440;4602
2440;10075
6485;4091
6485;1281
12130;12131
11342;11341
164;50
24170;95
6079;8
6079;73
6079;139
14055;293
14055;292
139;8
139;73
458;863
458;2380
458;2381
458;864
458;1474
458;787
10484;10483
17095;17094
2055;4981
2055;5896
2055;129
2055;227
2055;2678
2055;37
2055;2670
5359;2914
7130;22784
7130;22783
7130;22781
72;620
72;434
72;66
72;741
72;3582
12764;14252
2929;20414
2929;15341
449;8127
449;2481
449;322
449;4604
449;9015
449;15173
449;862
449;2103
449;13401
449;13400
1053;1093
1053;2103
12631;10867
12631;18911
12631;19994
324;213
324;252
324;26
